Date : 2020-02-04 11:34:23
Directory : /home/vincerubinetti/Desktop/projects/adage-frontend/src
Total : 169 files,  5297 codes, 41 comments, 835 blanks, all 6173 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/download.svg                          | XML        |         21 |          0 |          1 |         22 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/experiments.svg                       | XML        |         55 |          0 |          1 |         56 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/fit.svg                               | XML        |         26 |          0 |          1 |         27 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/genes.svg                             | XML        |         55 |          0 |          1 |         56 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/greene-lab-logo.svg                   | XML        |        100 |          0 |          1 |        101 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/help.svg                              | XML        |         27 |          0 |          1 |         28 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/info.svg                              | XML        |         25 |          0 |          1 |         26 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/link.svg                              | XML        |         27 |          0 |          1 |         28 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/list-multiple.svg                     | XML        |         34 |          0 |          1 |         35 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/list-single.svg                       | XML        |         16 |          0 |          1 |         17 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/loading.svg                           | XML        |         54 |          0 |          1 |         55 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/logo-small.svg                        | XML        |         56 |          0 |          1 |         57 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/logo.svg                              | XML        |         54 |          0 |          1 |         55 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/model.svg                             | XML        |         35 |          0 |          1 |         36 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/pin.svg                               | XML        |         17 |          0 |          1 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/plus.svg                              | XML        |         18 |          0 |          1 |         19 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/radioed.svg                           | XML        |         16 |          0 |          1 |         17 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/samples.svg                           | XML        |         30 |          0 |          1 |         31 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/search.svg                            | XML        |         23 |          0 |          1 |         24 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/signatures.svg                        | XML        |         19 |          0 |          1 |         20 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/sort.svg                              | XML        |         15 |          0 |          1 |         16 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/spade-circle.svg                      | XML        |         28 |          0 |          1 |         29 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/spade.svg                             | XML        |         20 |          0 |          1 |         21 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/unchecked.svg                         | XML        |         18 |          0 |          1 |         19 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/unpin.svg                             | XML        |         21 |          0 |          1 |         22 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/unradioed.svg                         | XML        |         15 |          0 |          1 |         16 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/index.js                                     | JavaScript |          4 |          0 |          2 |          6 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/package.test.js                              | JavaScript |         38 |          0 |          8 |         46 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/experiments/index.css                  | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/experiments/index.js                   | JavaScript |         13 |          0 |          5 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/footer/index.css                       | CSS        |          7 |          0 |          1 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/footer/index.js                        | JavaScript |         12 |          0 |          5 |         17 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/gene/index.css                         | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/gene/index.js                          | JavaScript |         43 |          0 |         10 |         53 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/enriched/index.css               | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/enriched/index.js                | JavaScript |         24 |          0 |          8 |         32 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/enriched/table/index.css         | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/enriched/table/index.js          | JavaScript |         60 |          0 |          7 |         67 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/index.css                        | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/index.js                         | JavaScript |         49 |          0 |          7 |         56 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/controls/download.js     | JavaScript |         10 |          0 |          3 |         13 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/controls/index.css       | CSS        |          7 |          0 |          1 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/controls/index.js        | JavaScript |         39 |          0 |          6 |         45 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/filters/index.css        | CSS        |         14 |          0 |          1 |         15 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/filters/index.js         | JavaScript |         69 |          0 |          8 |         77 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/constants.js       | JavaScript |         12 |          0 |          1 |         13 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/drag.js            | JavaScript |         26 |          0 |          8 |         34 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/index.css          | CSS        |         38 |          0 |          1 |         39 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/index.js           | JavaScript |         72 |          0 |         16 |         88 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/link-highlights.js | JavaScript |         29 |          0 |         10 |         39 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/link-lines.js      | JavaScript |         26 |          0 |          9 |         35 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/node-circles.js    | JavaScript |         24 |          0 |          8 |         32 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/node-highlights.js | JavaScript |         30 |          0 |          9 |         39 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/node-labels.js     | JavaScript |         31 |          0 |          9 |         40 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/simulation.js      | JavaScript |         81 |          0 |         18 |         99 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/tooltip.js         | JavaScript |         64 |          0 |         16 |         80 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/graph/view.js            | JavaScript |         53 |          0 |         14 |         67 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/index.css                | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/network/index.js                 | JavaScript |        128 |          0 |         29 |        157 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/index.css                 | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/index.js                  | JavaScript |         84 |          0 |          9 |         93 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi-controls/index.css  | CSS        |          7 |          0 |          1 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi-controls/index.js   | JavaScript |         25 |          0 |          7 |         32 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi-row/index.css       | CSS        |         43 |          0 |          2 |         45 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi-row/index.js        | JavaScript |        134 |          0 |         14 |        148 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi/index.css           | CSS        |          4 |          0 |          1 |          5 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/multi/index.js            | JavaScript |         30 |          0 |          7 |         37 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/single-table/index.css    | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/single-table/index.js     | JavaScript |         75 |          0 |          8 |         83 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/single/index.css          | CSS        |          3 |          0 |          1 |          4 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/search/single/index.js           | JavaScript |         33 |          0 |          7 |         40 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/controls/index.css      | CSS        |          7 |          0 |          1 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/controls/index.js       | JavaScript |         34 |          0 |          9 |         43 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/index.css               | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/index.js                | JavaScript |         22 |          0 |          7 |         29 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/table/index.css         | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/genes/selected/table/index.js          | JavaScript |         67 |          0 |          9 |         76 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/head/index.js                          | JavaScript |         21 |          0 |          7 |         28 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/index.css                       | CSS        |         48 |          0 |          2 |         50 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/index.js                        | JavaScript |         17 |          0 |          5 |         22 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/index.css          | CSS        |         23 |          0 |          1 |         24 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/index.js           | JavaScript |         59 |          0 |          9 |         68 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/item/index.css     | CSS        |         29 |          0 |          1 |         30 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/item/index.js      | JavaScript |         49 |          0 |          7 |         56 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/list/index.css     | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/model-select/list/index.js      | JavaScript |         26 |          0 |          8 |         34 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/nav/button/index.css            | CSS        |         23 |          0 |          1 |         24 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/nav/button/index.js             | JavaScript |         23 |          0 |          7 |         30 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/nav/index.css                   | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/nav/index.js                    | JavaScript |         14 |          0 |          6 |         20 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/right/index.css                 | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/right/index.js                  | JavaScript |         19 |          0 |          7 |         26 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/title/index.css                 | CSS        |          4 |          0 |          1 |          5 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/header/title/index.js                  | JavaScript |         12 |          0 |          6 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/help/index.css                         | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/help/index.js                          | JavaScript |          4 |          0 |          4 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/banner/index.css                  | CSS        |          9 |          0 |          1 |         10 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/banner/index.js                   | JavaScript |         17 |          0 |          7 |         24 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/feature/index.css                 | CSS        |         36 |          0 |          2 |         38 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/feature/index.js                  | JavaScript |         50 |          0 |         10 |         60 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/header/index.css                  | CSS        |         17 |          0 |          1 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/header/index.js                   | JavaScript |         11 |          0 |          6 |         17 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/index.css                         | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/home/index.js                          | JavaScript |         47 |          0 |          6 |         53 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/main/index.css                         | CSS        |          7 |          0 |          1 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/main/index.js                          | JavaScript |          4 |          0 |          4 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/model/index.css                        | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/model/index.js                         | JavaScript |         43 |          0 |         10 |         53 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/signatures/index.css                   | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/pages/signatures/index.js                    | JavaScript |         13 |          0 |          5 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/reducers/genes.js                            | JavaScript |        127 |          0 |         26 |        153 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/reducers/index.js                            | JavaScript |         12 |          0 |          3 |         15 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/reducers/models.js                           | JavaScript |         37 |          0 |         11 |         48 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/reducers/signatures.js                       | JavaScript |         25 |          0 |          9 |         34 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/reducers/url.js                              | JavaScript |         39 |          0 |          4 |         43 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/color.js                                | JavaScript |         27 |          8 |          9 |         44 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/debug.js                                | JavaScript |         10 |          0 |          2 |         12 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/download.js                             | JavaScript |         32 |          0 |          5 |         37 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/hooks.js                                | JavaScript |         44 |          0 |          8 |         52 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/math.js                                 | JavaScript |         68 |         21 |         14 |        103 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/util/types.js                                | JavaScript |         14 |          0 |          6 |         20 |
| Total                                                                                                 |            |      5,297 |         41 |        835 |      6,173 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
