Date : 2020-02-04 11:34:23
Directory : /home/vincerubinetti/Desktop/projects/adage-frontend/src
Total : 169 files,  5297 codes, 41 comments, 835 blanks, all 6173 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         85 |      3,561 |         41 |        743 |      4,345 |
| XML        |         33 |        975 |          0 |         33 |      1,008 |
| CSS        |         51 |        761 |          0 |         59 |        820 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        169 |      5,297 |         41 |        835 |      6,173 |
| actions                                                                                               |          4 |        126 |          6 |         48 |        180 |
| backend                                                                                               |          4 |         70 |          4 |         24 |         98 |
| components                                                                                            |         30 |      1,238 |          0 |        158 |      1,396 |
| components/alert                                                                                      |          2 |         31 |          0 |          8 |         39 |
| components/button                                                                                     |          2 |        101 |          0 |          9 |        110 |
| components/details                                                                                    |          2 |         60 |          0 |         10 |         70 |
| components/fetch-alert                                                                                |          2 |         39 |          0 |          9 |         48 |
| components/field                                                                                      |          2 |         34 |          0 |          8 |         42 |
| components/horizontal-line                                                                            |          2 |         12 |          0 |          5 |         17 |
| components/input                                                                                      |          2 |        197 |          0 |         16 |        213 |
| components/link                                                                                       |          2 |         62 |          0 |          7 |         69 |
| components/popup                                                                                      |          2 |         53 |          0 |          8 |         61 |
| components/search                                                                                     |          2 |         82 |          0 |         15 |         97 |
| components/section                                                                                    |          2 |         71 |          0 |          7 |         78 |
| components/slider                                                                                     |          2 |        109 |          0 |         14 |        123 |
| components/table                                                                                      |          2 |        175 |          0 |         11 |        186 |
| components/tooltip                                                                                    |          2 |        200 |          0 |         26 |        226 |
| components/vertical-line                                                                              |          2 |         12 |          0 |          5 |         17 |
| images                                                                                                |         33 |        975 |          0 |         33 |      1,008 |
| pages                                                                                                 |         82 |      2,154 |          0 |        435 |      2,589 |
| pages/experiments                                                                                     |          2 |         13 |          0 |          6 |         19 |
| pages/footer                                                                                          |          2 |         19 |          0 |          6 |         25 |
| pages/gene                                                                                            |          2 |         43 |          0 |         11 |         54 |
| pages/genes                                                                                           |         43 |      1,454 |          0 |        280 |      1,734 |
| pages/genes/enriched                                                                                  |          4 |         84 |          0 |         17 |        101 |
| pages/genes/enriched/table                                                                            |          2 |         60 |          0 |          8 |         68 |
| pages/genes/network                                                                                   |         19 |        753 |          0 |        168 |        921 |
| pages/genes/network/controls                                                                          |          3 |         56 |          0 |         10 |         66 |
| pages/genes/network/filters                                                                           |          2 |         83 |          0 |          9 |         92 |
| pages/genes/network/graph                                                                             |         12 |        486 |          0 |        119 |        605 |
| pages/genes/search                                                                                    |         12 |        438 |          0 |         59 |        497 |
| pages/genes/search/multi                                                                              |          2 |         34 |          0 |          8 |         42 |
| pages/genes/search/multi-controls                                                                     |          2 |         32 |          0 |          8 |         40 |
| pages/genes/search/multi-row                                                                          |          2 |        177 |          0 |         16 |        193 |
| pages/genes/search/single                                                                             |          2 |         36 |          0 |          8 |         44 |
| pages/genes/search/single-table                                                                       |          2 |         75 |          0 |          9 |         84 |
| pages/genes/selected                                                                                  |          6 |        130 |          0 |         28 |        158 |
| pages/genes/selected/controls                                                                         |          2 |         41 |          0 |         10 |         51 |
| pages/genes/selected/table                                                                            |          2 |         67 |          0 |         10 |         77 |
| pages/head                                                                                            |          1 |         21 |          0 |          7 |         28 |
| pages/header                                                                                          |         16 |        346 |          0 |         64 |        410 |
| pages/header/model-select                                                                             |          6 |        186 |          0 |         27 |        213 |
| pages/header/model-select/item                                                                        |          2 |         78 |          0 |          8 |         86 |
| pages/header/model-select/list                                                                        |          2 |         26 |          0 |          9 |         35 |
| pages/header/nav                                                                                      |          4 |         60 |          0 |         15 |         75 |
| pages/header/nav/button                                                                               |          2 |         46 |          0 |          8 |         54 |
| pages/header/right                                                                                    |          2 |         19 |          0 |          8 |         27 |
| pages/header/title                                                                                    |          2 |         16 |          0 |          7 |         23 |
| pages/help                                                                                            |          2 |          4 |          0 |          5 |          9 |
| pages/home                                                                                            |          8 |        187 |          0 |         34 |        221 |
| pages/home/banner                                                                                     |          2 |         26 |          0 |          8 |         34 |
| pages/home/feature                                                                                    |          2 |         86 |          0 |         12 |         98 |
| pages/home/header                                                                                     |          2 |         28 |          0 |          7 |         35 |
| pages/main                                                                                            |          2 |         11 |          0 |          5 |         16 |
| pages/model                                                                                           |          2 |         43 |          0 |         11 |         54 |
| pages/signatures                                                                                      |          2 |         13 |          0 |          6 |         19 |
| reducers                                                                                              |          5 |        240 |          0 |         53 |        293 |
| util                                                                                                  |          6 |        195 |         29 |         44 |        268 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/actions/fetch.js                             | JavaScript |         74 |          6 |         23 |        103 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/actions/genes.js                             | JavaScript |         29 |          0 |         15 |         44 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/actions/models.js                            | JavaScript |         10 |          0 |          5 |         15 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/actions/signatures.js                        | JavaScript |         13 |          0 |          5 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/app.css                                      | CSS        |         82 |          0 |          5 |         87 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/app.js                                       | JavaScript |         57 |          1 |         10 |         68 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/backend/genes.js                             | JavaScript |         43 |          0 |         13 |         56 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/backend/index.js                             | JavaScript |          2 |          4 |          3 |          9 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/backend/models.js                            | JavaScript |         10 |          0 |          4 |         14 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/backend/signatures.js                        | JavaScript |         15 |          0 |          4 |         19 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/alert/index.css                   | CSS        |         15 |          0 |          1 |         16 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/alert/index.js                    | JavaScript |         16 |          0 |          7 |         23 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/button/index.css                  | CSS        |         53 |          0 |          2 |         55 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/button/index.js                   | JavaScript |         48 |          0 |          7 |         55 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/details/index.css                 | CSS        |         19 |          0 |          1 |         20 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/details/index.js                  | JavaScript |         41 |          0 |          9 |         50 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/fetch-alert/index.css             | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/fetch-alert/index.js              | JavaScript |         39 |          0 |          8 |         47 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/field/index.css                   | CSS        |          9 |          0 |          1 |         10 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/field/index.js                    | JavaScript |         25 |          0 |          7 |         32 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/horizontal-line/index.css         | CSS        |          8 |          0 |          1 |          9 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/horizontal-line/index.js          | JavaScript |          4 |          0 |          4 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/input/index.css                   | CSS        |         65 |          0 |          1 |         66 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/input/index.js                    | JavaScript |        132 |          0 |         15 |        147 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/link/index.css                    | CSS        |          0 |          0 |          1 |          1 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/link/index.js                     | JavaScript |         62 |          0 |          6 |         68 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/popup/index.css                   | CSS        |         14 |          0 |          1 |         15 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/popup/index.js                    | JavaScript |         39 |          0 |          7 |         46 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/search/index.css                  | CSS        |          3 |          0 |          1 |          4 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/search/index.js                   | JavaScript |         79 |          0 |         14 |         93 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/section/index.css                 | CSS        |         40 |          0 |          1 |         41 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/section/index.js                  | JavaScript |         31 |          0 |          6 |         37 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/slider/index.css                  | CSS        |         52 |          0 |          1 |         53 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/slider/index.js                   | JavaScript |         57 |          0 |         13 |         70 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/table/index.css                   | CSS        |         43 |          0 |          1 |         44 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/table/index.js                    | JavaScript |        132 |          0 |         10 |        142 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/tooltip/index.css                 | CSS        |         24 |          0 |          1 |         25 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/tooltip/index.js                  | JavaScript |        176 |          0 |         25 |        201 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/vertical-line/index.css           | CSS        |          8 |          0 |          1 |          9 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/components/vertical-line/index.js            | JavaScript |          4 |          0 |          4 |          8 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/controller.js                                | JavaScript |        118 |          1 |         15 |        134 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/alert.svg                             | XML        |         25 |          0 |          1 |         26 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/arrow.svg                             | XML        |         19 |          0 |          1 |         20 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/caret.svg                             | XML        |         17 |          0 |          1 |         18 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/checked.svg                           | XML        |         28 |          0 |          1 |         29 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/cross.svg                             | XML        |         19 |          0 |          1 |         20 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/diamond-circle.svg                    | XML        |         25 |          0 |          1 |         26 |
| /home/vincerubinetti/Desktop/projects/adage-frontend/src/images/diamond.svg                           | XML        |         17 |          0 |          1 |         18 |
